Type_of_Leader Decision Required_time Position Velocity
R N 2.28 0.03 0.03 
R N 3.68 3.90 8.86 
R N 2.36 8.50 11.49 
R N 3.62 4.31 10.26 
R N 3.02 6.14 34.10 
R N 5.16 10.15 50.77 
R N 2.64 10.42 40.08 
R N 9.30 4.03 7.75 
R N 6.16 4.19 13.10 
R N 3.86 13.78 14.66 
R N 2.96 2.06 6.87 
R N 2.20 10.49 14.17 
R N 2.66 13.26 66.28 
R N 2.32 13.46 12.94 
R N 3.80 9.33 93.32 
R N 2.74 14.05 54.05 
R N 1.52 12.54 39.19 
R N 2.04 10.69 6.00 
R N 1.76 14.19 35.47 
R N 3.38 1.49 10.63 
R N 4.68 7.48 19.68 
R N 2.14 11.15 29.33 
R N 2.84 3.38 15.34 
R N 3.82 5.88 16.32 
R N 5.30 8.01 21.07 
R N 2.26 13.08 34.42 
R N 2.40 12.74 45.50 
R N 10.06 13.53 42.28 
R N 6.90 13.26 66.29 
R N 6.70 0.02 0.13 
R N 4.08 15.27 58.73 
R N 3.44 6.24 3.85 
R N 2.40 5.49 10.97 
